tile,n_cells,area_km2
518,240,116966.14990234375
519,216,105269.53491210938
520,240,116966.14990234375
521,240,116966.14990234375
522,216,105269.53491210938
523,240,116966.14990234375
524,216,105269.53491210938
525,240,116966.14990234375
526,240,116966.14990234375
527,216,105269.53491210938
528,240,116966.14990234375
529,216,105269.53491210938
530,240,116966.14990234375
531,240,116966.14990234375
532,216,105269.53491210938
533,240,116966.14990234375
534,216,105269.53491210938
535,240,116966.14990234375
536,240,116966.14990234375
537,216,105269.53491210938
538,240,116966.14990234375
539,216,105269.53491210938
540,240,116966.14990234375
541,216,111928.78619384766
542,216,111928.78619384766
543,216,111928.78619384766
544,216,111928.78619384766
545,216,111928.78619384766
546,216,111928.78619384766
547,216,111928.78619384766
548,216,111928.78619384766
549,216,111928.78619384766
550,216,111928.78619384766
551,216,111928.78619384766
552,216,111928.78619384766
553,216,111928.78619384766
554,216,111928.78619384766
555,216,111928.78619384766
556,216,111928.78619384766
557,216,111928.78619384766
558,216,111928.78619384766
559,216,111928.78619384766
560,216,111928.78619384766
561,216,111928.78619384766
562,216,111928.78619384766
563,216,111928.78619384766
564,216,111928.78619384766
565,216,111928.78619384766
566,216,111928.78619384766
567,216,111928.78619384766
568,216,111928.78619384766
569,216,111928.78619384766
570,216,111928.78619384766
571,216,111928.78619384766
572,216,111928.78619384766
573,216,111928.78619384766
574,216,111928.78619384766
575,216,111928.78619384766
576,216,111928.78619384766
577,216,111928.78619384766
578,216,111928.78619384766
579,216,111928.78619384766
580,216,111928.78619384766
581,216,111928.78619384766
582,216,111928.78619384766
583,216,111928.78619384766
584,216,111928.78619384766
585,216,111928.78619384766
586,216,111928.78619384766
587,216,111928.78619384766
588,216,111928.78619384766
589,216,111928.78619384766
590,216,111928.78619384766
591,216,111928.78619384766
592,216,111928.78619384766
593,216,111928.78619384766
594,216,111928.78619384766
595,216,111928.78619384766
596,216,111928.78619384766
597,216,111928.78619384766
598,216,111928.78619384766
599,216,111928.78619384766
600,216,111928.78619384766
601,216,111928.78619384766
602,216,111928.78619384766
603,216,111928.78619384766
604,216,111928.78619384766
605,216,111928.78619384766
606,216,111928.78619384766
607,216,111928.78619384766
608,216,111928.78619384766
609,216,111928.78619384766
610,216,111928.78619384766
611,216,111928.78619384766
612,216,111928.78619384766
613,216,111928.78619384766
614,216,111928.78619384766
615,216,111928.78619384766
616,216,111928.78619384766
617,216,111928.78619384766
618,216,111928.78619384766
619,216,111928.78619384766
620,216,111928.78619384766
621,216,118281.24865722656
622,192,105138.8876953125
623,216,118281.24865722656
624,192,105138.8876953125
625,216,118281.24865722656
626,192,105138.8876953125
627,216,118281.24865722656
628,216,118281.24865722656
629,192,105138.8876953125
630,216,118281.24865722656
631,192,105138.8876953125
632,216,118281.24865722656
633,192,105138.8876953125
634,216,118281.24865722656
635,216,118281.24865722656
636,192,105138.8876953125
637,216,118281.24865722656
638,192,105138.8876953125
639,216,118281.24865722656
640,192,105138.8876953125
641,216,118281.24865722656
642,216,118281.24865722656
643,192,105138.8876953125
644,216,118281.24865722656
645,192,105138.8876953125
646,216,118281.24865722656
647,192,105138.8876953125
648,216,118281.24865722656
649,216,118281.24865722656
650,192,105138.8876953125
651,216,118281.24865722656
652,192,105138.8876953125
653,216,118281.24865722656
654,192,105138.8876953125
655,216,118281.24865722656
656,216,118281.24865722656
657,192,105138.8876953125
658,216,118281.24865722656
659,192,105138.8876953125
660,216,118281.24865722656
661,192,105138.8876953125
662,216,118281.24865722656
663,216,118281.24865722656
664,192,105138.8876953125
665,216,118281.24865722656
666,192,105138.8876953125
667,216,118281.24865722656
668,192,105138.8876953125
669,216,118281.24865722656
670,216,118281.24865722656
671,192,105138.8876953125
672,216,118281.24865722656
673,192,105138.8876953125
674,216,118281.24865722656
675,192,105138.8876953125
676,216,118281.24865722656
677,216,118281.24865722656
678,192,105138.8876953125
679,216,118281.24865722656
680,192,105138.8876953125
681,216,118281.24865722656
682,192,105138.8876953125
683,216,118281.24865722656
684,216,118281.24865722656
685,192,105138.8876953125
686,216,118281.24865722656
687,192,105138.8876953125
688,216,118281.24865722656
689,192,105138.8876953125
690,216,118281.24865722656
691,216,118281.24865722656
