name,continent,centroid_lat,centroid_lon,area_km2,glaciated,abs_lat,log10_area,stratum,era5_coverage,nbr_corr,nbr_dist_km,nbr_n_unique,nbr_modal,nbr_stable,rho,log_qr,coupling,skill_p3b,dm_p3b,dm_p_p3b,n_p3b,skill_p4cond,dm_p4cond,dm_p_p4cond,n_p4cond,skill_era5r,dm_era5r,dm_p_era5r,n_era5r,skill_era5c,dm_era5c,dm_p_era5c,n_era5c,li_dm_h4,dist_band,corr_band,lat_band
C_Yamal_Peninsula,asia,69.67227172851562,70.39633178710938,140921.625,0,69.67227172851562,5.148977642488655,low,0.783806076110191,0.7675486394696451,428.1783763913292,2,C_Gydan_Bay_Coast,0,0.8606589534818262,-1.00984912222088,0.9412185048923218,-0.0029322502099440317,0.25387538956434175,0.8002273241546429,83,-0.003948635041241655,0.344845841265051,0.7310932049943082,83,-0.0029322502099440317,0.25387538956434175,0.8002273241546429,83,-0.0070955666516805405,0.6713617560261644,0.50387701959527,83,-3.191651316785918,300-600,mid_corr,N_high
R_Ob_River,asia,55.872745513916016,75.04949951171875,3094179.75,0,55.872745513916016,6.490545539539684,low,0.9995927021706056,0.656860849390787,16212.658086045121,2,R_Colorado_River_Argentina,0,0.9413950954729338,1.0605847121138674,0.01018784569109354,-0.07371757410623636,1.2354081872774494,0.22020645336544845,83,-0.0859416848765644,1.4580298266073426,0.14865182780754918,83,-0.07371757410623636,1.2354081872774494,0.22020645336544845,83,0.07143356170327542,-1.0754664269406766,0.2853201869288666,83,1.4670257368352593,>1000,mid_corr,N_high
C_East_Ob_Bay_Coast,asia,66.16099548339844,77.90296173095703,471574.84375,0,66.16099548339844,5.673550629518982,low,0.9210184326688632,0.7859216671717861,456.96813877591967,1,C_Gydan_Bay_Coast,1,0.8552399133586226,-0.24857774679774622,0.9412185048923218,-0.029911283438058378,2.065621941242224,0.042022109507386274,83,-0.0274986252894609,1.935814613866753,0.05633643582342711,83,-0.029911283438058378,2.065621941242224,0.042022109507386274,83,-0.023122906057601256,1.5297001318891221,0.12993969804732597,83,-1.884688325323561,300-600,high_corr,N_high
C_Gydan_Bay_Coast,asia,70.09961700439453,81.06485748291016,101067.84375,0,70.09961700439453,5.004613000266272,mid,0.8982275295908917,0.9033108949659902,191.62245207957997,1,C_Yenisey_Gulf_Coast,1,0.8637288683777177,-0.7896850241760657,0.9412185048923218,-0.011058038278512372,1.6612738774975857,0.10047740063685268,83,-0.010839858171684424,1.672354988495537,0.09826599105351842,83,-0.011058038278512372,1.6612738774975857,0.10047740063685268,83,-0.0010284257760633242,0.13932674891677294,0.8895335816693049,83,-1.0764706577561207,<300km,high_corr,N_high
R_Yenisey_River,asia,57.42755508422852,98.65430450439452,2509586.5,0,57.42755508422852,6.399602169464284,sub_noise,0.99999999288106,0.5602473817512907,1386.656120036611,2,R_Lena_River,0,0.8847687699553817,0.053783701079940335,0.7179170445719959,-0.135808182821058,4.260001427367636,5.417997341243303e-05,83,-0.13176418006646862,4.159783579145883,7.799908025222102e-05,83,-0.135808182821058,4.260001427367636,5.417997341243303e-05,83,-0.19884461765345884,3.4377598664304725,0.0009239489291408387,83,-3.635385963062217,>1000,low_corr,N_high
C_Yenisey_Gulf_Coast,asia,71.72734832763672,82.79708862304688,28055.921875,0,71.72734832763672,4.448024543531286,mid,0.7739922154527238,0.9033108949659902,191.62245207957997,1,C_Gydan_Bay_Coast,1,0.8699120620751095,-1.0800455376178566,0.9412185048923218,0.00033510502303302214,-0.031226034955033604,0.9751651561347501,83,0.00022202735271581453,-0.020516825572892913,0.9836809319773393,83,0.00033510502303302214,-0.031226034955033604,0.9751651561347501,83,-0.012645135279925501,1.306712105574078,0.19496345960432074,83,1.0118413915446751,<300km,high_corr,N_high
C_North_Siberia_Coast,asia,71.36978912353516,103.69770050048828,1154505.5,0,71.36978912353516,6.062396006212884,low,0.9751734379453828,0.7286609386267969,837.1099356814357,1,C_Gydan_Bay_Coast,1,0.9331124373605668,-0.6376444108987863,0.8816151770587997,-0.021188268215780903,1.0363511264410252,0.3030849021325504,83,-0.021744033425025178,1.064499048072602,0.2902272776658063,83,-0.021188268215780903,1.0363511264410252,0.3030849021325504,83,-0.03301432098250956,2.1181669164594377,0.03718859565454299,83,-2.026517631643012,600-1000,mid_corr,N_high
C_Olenyok_Delta,asia,72.90956115722656,125.04621887207033,20929.328125,0,72.90956115722656,4.32075528680555,mid,0.9027038219053962,0.81125763078847,274.1856510658855,1,C_Buor_Khaya_Gulf_Coast,1,0.9030130303507613,-1.235014204175148,0.9412185048923218,0.007653193646992795,-1.521773790091083,0.1319128592777532,83,0.007965859163323263,-1.5488231549376663,0.125275292170234,83,0.007653193646992795,-1.521773790091083,0.1319128592777532,83,0.010794909776629225,-1.7688442892290481,0.08063841610903015,83,-2.356988454682464,<300km,high_corr,N_high
R_Lena_River,asia,60.77709197998047,121.91783142089844,2464042.5,0,60.77709197998047,6.391648194302575,low,0.9981815949263242,0.5663943375843695,1392.2559236006487,2,R_Yenisey_River,0,0.8853903483043902,0.22255769220141444,0.7233220062370914,-0.03916449869949168,1.0165950468038423,0.3123362679187167,83,-0.03729344992389838,0.9693807540135142,0.3352058826706199,83,-0.03916449869949168,1.0165950468038423,0.3123362679187167,83,-0.04484047189814766,1.2121248578082906,0.22894560820139626,83,-0.5672398209447435,>1000,low_corr,N_high
C_Buor_Khaya_Gulf_Coast,asia,70.8240966796875,129.2813262939453,10676.2705078125,0,70.8240966796875,4.028419569102165,low,0.9542631656688574,0.81125763078847,274.1856510658855,1,C_Olenyok_Delta,1,0.9382617074914267,-1.326144932394768,0.9412185048923218,-0.005272546066484196,1.393825506106467,0.1671362380739356,83,-0.005180750274499379,1.395463804663524,0.16664364174793828,83,-0.005272546066484196,1.393825506106467,0.1671362380739356,83,-0.0027532410259027973,0.9808594169651842,0.3295472010166893,83,-1.911453956497354,<300km,high_corr,N_high
