model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
fusion_corr_top1,kalman_ar1,6,18252,78,-0.00590098769262104,-0.00877709322513015,-0.003051703728754459,3.7621997372530993,0.00032673099298329407
fusion_corr_top1_mle,kalman_ar1,6,18252,78,-0.01777115041014321,-0.0261563504568987,-0.01095570002093656,4.421864232358133,3.1695418939018114e-05
fusion_corr_top1,kalman_own_ridge,6,18252,78,-0.022107894463278432,-0.026898990960492204,-0.018424205346902776,8.71234932150457,4.3013254834013307e-13
fusion_corr_top1,kalman_corr_top1,6,18252,78,-0.01883969248886519,-0.022705255532063224,-0.015388552073976047,9.745639071941309,4.426864729837377e-15
coupled_corr_top1,kalman_ar1,6,18252,78,0.0011571117912896334,-0.0005984693072852654,0.003328502514155883,-1.0113489535326103,0.3150169630949408
coupled_corr_top1,kalman_own_ridge,6,18252,78,-0.014936076072921356,-0.017864998191709926,-0.012418545779398854,8.859341203813969,2.239046981220757e-13
coupled_corr_top1,kalman_corr_top1,6,18252,78,-0.011690806071884108,-0.015160740896051244,-0.008185278128186469,6.377049973217065,1.224193760111888e-08
gbm_own,ridge_own,1,19422,83,-0.011816466765098621,-0.016181262690945285,-0.008001251159168584,6.366947615557085,1.050194528964667e-08
gbm_corr_top1,ridge_corr_top1,1,19422,83,-0.010115689452214305,-0.01398233353899463,-0.006756691698931579,5.068056213766161,2.4418426708468013e-06
gbm_corr_top1,gbm_own,1,19422,83,0.004752235149942274,0.000649234474705912,0.009716272369098979,-2.141612994118923,0.03519224712268593
ridge_corr_top1_2hop,ridge_corr_top1,1,19422,83,-0.000499569709692782,-0.0008208696239992263,-0.00018388460187948624,2.9062186242489436,0.004702611060842935
gbm_corr_top1_2hop,gbm_corr_top1,1,19422,83,-0.001578091547791871,-0.003481157776023336,0.00029028691793562243,1.629371302385359,0.10707032713396619
mlp_corr_top1_s0,ridge_corr_top1,1,19422,83,-0.015717800199550824,-0.020310257523086676,-0.011710509938649393,6.781700806953132,1.6948184618263762e-09
mlp_own_s0,ridge_own,1,19422,83,-0.018404688195460706,-0.02736518392560579,-0.0111753672178152,4.9842127436722965,3.409499153921751e-06
gbm_own,ridge_own,2,19188,82,-0.009510184029791091,-0.0118059699399656,-0.007318855406365066,7.976095296113433,8.372872311729303e-12
gbm_corr_top1,ridge_corr_top1,2,19188,82,-0.009460677691864428,-0.013038690562634658,-0.00647158280837913,5.504548142329327,4.230912470455816e-07
gbm_corr_top1,gbm_own,2,19188,82,-0.0009223277258219031,-0.006341068822339502,0.004924048190661945,0.3366850231852775,0.7372251080708404
ridge_corr_top1_2hop,ridge_corr_top1,2,19188,82,-0.0012376574179486788,-0.0018722405619930771,-0.0006301628610537736,3.988854587483936,0.0001447907995507336
gbm_corr_top1_2hop,gbm_corr_top1,2,19188,82,-0.0019004624863547814,-0.0047441438603606275,0.0007288492173017734,1.3898419485866753,0.1683849444415561
mlp_corr_top1_s0,ridge_corr_top1,2,19188,82,-0.010146087121933656,-0.014005494142353215,-0.00676589825173991,5.701305339407157,1.8674295529968146e-07
mlp_own_s0,ridge_own,2,19188,82,-0.017501180101335834,-0.022967102238812438,-0.012484359666710623,6.935041450345416,8.998848764729236e-10
gbm_own,ridge_own,3,18954,81,-0.015427096586202671,-0.019655882109945105,-0.012172735393224648,7.209148140609167,2.8050217525370936e-10
gbm_corr_top1,ridge_corr_top1,3,18954,81,-0.014918210405984178,-0.019242227835744558,-0.011477944212320308,6.965076322703291,8.28046483980671e-10
gbm_corr_top1,gbm_own,3,18954,81,-0.0014131812779409891,-0.006825223666745433,0.004361757199255283,0.5000293018938321,0.6184271065696773
ridge_corr_top1_2hop,ridge_corr_top1,3,18954,81,-0.0015105891828457452,-0.0024462806135818194,-0.0007010223879230506,3.201310414193654,0.0019631735072086634
gbm_corr_top1_2hop,gbm_corr_top1,3,18954,81,-0.0037373477279458722,-0.007538358425058711,-0.0002614803599796275,1.9178996990430817,0.05869220257539102
mlp_corr_top1_s0,ridge_corr_top1,3,18954,81,-0.020279291272050193,-0.027265488879308068,-0.015325025303091561,5.947967094454478,6.80928253829644e-08
mlp_own_s0,ridge_own,3,18954,81,-0.020609042892839824,-0.027649496670532115,-0.014565449046826037,5.917127060472296,7.75782653289252e-08
