source,challenger,reference,stratum,horizon,n_basins,n_rows,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_lowmid,2,142,11644,1.4517392453662237,1.0024329966347032,1.993438599472385,-6.173922719875511,2.5115609155535666e-08
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_lowmid,3,142,11502,1.4204138612716966,1.1007802329923992,1.814581563507384,-6.788087419679459,1.806573756967423e-09
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_lowmid,4,142,11360,1.313990993104719,0.8997771959294867,1.8135546212220393,-5.4105883308995555,6.528487324032209e-07
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_lowmid,5,142,11218,1.6587387080768345,1.356672014765432,2.046673887794244,-7.998311702404528,9.48159458093997e-12
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_lowmid,6,142,11076,1.9955559475428486,1.6790344693805421,2.4278674918910155,-8.10603717940333,6.355160666823381e-12
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,1,21,1743,0.2190879165771764,-0.1866259957398697,0.6428475890168155,-1.1156807298487668,0.26781772933471776
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,2,21,1722,1.1289174395934576,0.5898311499588101,1.802262888556621,-4.034676682470545,0.00012316169486321435
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,3,21,1701,0.9391767483569846,0.5103600488291729,1.3936272657640074,-4.059274039691409,0.00011390886493875458
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,4,21,1680,0.59471738542205,0.16396551655840477,1.196756146094743,-2.173526255402695,0.03273577029719763
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,5,21,1659,0.27529221941652304,-0.4394203918662509,0.8622891712785,-0.8226791854905872,0.4131984507464342
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,6,21,1638,0.9205199828638766,0.4588953994967973,1.2901400448523552,-3.371889787359516,0.0011701901849273087
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,1,14,1162,0.5371822031617124,0.06498883631475882,1.0472562351763672,-2.290764485351079,0.024544102776436687
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,2,14,1148,0.3093007096338085,-0.23267674728811027,0.8960056873728587,-1.1161184178467543,0.2676715743403449
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,3,14,1134,0.7060824099072827,-0.06390678901164848,1.5063960300162886,-1.590897835882474,0.11557672283712636
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,4,14,1120,0.8942086406246941,-0.3090826055056273,2.176071355565318,-1.3168393136989023,0.1916997359670841
