name,fold,n_train_obs,n_fo_train,rho,q,r_grace,r_fo,r_ratio,r_fo_fallback,r_grace_at_boundary,r_fo_at_boundary,two_converged,rho_one,q_one,r_one,r_one_at_boundary,one_converged,loglik_one,loglik_two,lr_stat,lr_p,rho_two_raw,q_two_raw,r_grace_raw,r_fo_raw,r_ratio_raw,loglik_two_raw,lr_stat_raw,lr_p_raw
C_California_and_Baja_California,f1,173,10,0.8789455107145459,0.22369541833434647,0.027174684099428994,0.027174684099428994,1.0,True,False,False,True,0.8789455107145459,0.22369541833434647,0.027174684099428994,False,True,-138.2473918511822,-138.2473918511822,0.0,1.0,0.8821179625125931,0.21763678067118933,0.028565171423777992,0.07741679421961957,2.7101813278521725,-138.14022488965549,0.2143339230534025,0.6433915204147937
C_Canadian_South_Arctic_Ocean_Coast,f1,173,10,0.843757204514442,0.15333427282157464,0.45997454677979976,0.45997454677979976,1.0,True,False,False,True,0.843757204514442,0.15333427282157464,0.45997454677979976,False,True,-220.66532209412816,-220.66532209412816,0.0,1.0,0.8353817484079661,0.16304844366294433,0.47129542357710774,0.11456929537044189,0.2430944363958956,-219.4048214512756,2.521001285705097,0.11233923285670869
C_Capim_River_Delta,f1,173,10,0.8586486199594183,0.26369501487947183,4.735542354298613e-08,4.735542354298613e-08,1.0,True,True,False,True,0.8586486199594183,0.26369501487947183,4.735542354298613e-08,True,True,-136.8718183383986,-136.8718183383986,0.0,1.0,0.8632546442400989,0.25102004038037645,1.157308095193079e-07,0.20201415934726108,1745552.1151742928,-136.13659619304926,1.4704442906987083,0.2252756077252746
C_Carribean_Coast,f1,173,10,0.8870583076649671,0.21255313547370172,1.6674589731442396e-10,1.6674589731442396e-10,1.0,True,False,True,True,0.8870583076649671,0.21255313547370172,1.6674589731442396e-10,True,True,-118.72026734902752,-118.72026734902752,0.0,1.0,0.8925361793066571,0.20092677500212314,0.007191683087570408,7.663509683079418e-09,1.0656072562936596e-06,-118.67832893665381,0.08387682474742064,0.7721108212694012
C_Central_America_Gulf_of_Mexico_Caribbean_Coast,f1,173,10,0.745962808568998,0.4570551244782993,2.639373505009594e-09,2.639373505009594e-09,1.0,True,True,True,True,0.745962808568998,0.4570551244782993,2.639373505009594e-09,True,True,-182.7737709633166,-182.7737709633166,0.0,1.0,0.745928821312355,0.4570353034541989,1.7061132506499414e-10,1.6379555861505138e-07,960.0509142793053,-182.77377245129887,-2.9759645485682995e-06,1.0
C_Central_American_Pacific_Coast,f1,173,10,0.7269036884541367,0.47085172185156104,0.022739884726969736,0.022739884726969736,1.0,True,False,True,True,0.7269036884541367,0.47085172185156104,0.022739884726969736,False,True,-190.8382694028434,-190.8382694028434,0.0,1.0,0.7308816706489253,0.46252785179125233,0.02996400063172074,2.4473078028702725e-09,8.167493496444141e-08,-190.80349085561406,0.06955709445867342,0.7919827444829495
C_Chao_Phraya_River_Gulf_of_Thailand_Coast,f1,173,10,0.8209773433290153,0.34429733844675026,1.9503903320548463e-07,1.9503903320548463e-07,1.0,True,False,True,True,0.8209773433290153,0.34429733844675026,1.9503903320548463e-07,True,True,-159.34179052716013,-159.34179052716013,0.0,1.0,0.8319559804813204,0.32028343185800745,0.01562789705148829,2.0671226275301917e-07,1.3227132356450566e-05,-159.2638307274718,0.15591959937665933,0.6929413708115942
C_Chukchi_Peninsula,f1,173,10,0.6969407277863113,0.28451307408938503,0.46450895498971445,0.46450895498971445,1.0,True,False,False,True,0.6969407277863113,0.28451307408938503,0.46450895498971445,False,True,-232.84764534102388,-232.84764534102388,0.0,1.0,0.6397819975231803,0.30829089616406885,0.35873499367563183,2.2589497057959496,6.296987318272306,-227.39293627015397,10.90941814173982,0.000956765730004567
C_Churchill_Seal_Rivers,f1,173,10,0.8631753411081786,0.24425164158301083,0.012570134262364094,0.012570134262364094,1.0,True,False,True,True,0.8631753411081786,0.24425164158301083,0.012570134262364094,False,True,-137.1811516460094,-137.1811516460094,0.0,1.0,0.8696658812701903,0.23147273494970724,0.02132801260007032,5.685015393829514e-10,2.6655157704711642e-08,-136.98720726242024,0.38788876717831045,0.5334112480720361
C_Columbia_Ecuador_Pacific_Coast,f1,173,10,0.45802255551011856,0.7915429189142318,5.139580118413006e-07,5.139580118413006e-07,1.0,True,True,False,True,0.45802255551011856,0.7915429189142318,5.139580118413006e-07,True,True,-227.1976081521543,-227.1976081521543,0.0,1.0,0.4743093648910827,0.7573838736419494,1.1220940351921863e-07,0.48483117985255925,4320771.384989316,-226.12519745202854,2.1448214002514874,0.1430516829957823
